Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
265,Neu5Aca2-6GalNAca-Sp8,3.23535,1.004384191,31.04406605,-19.67837624,#NUM!
110,Gala1-3GalNAca-Sp8,3.18,4.235948017,133.2059125,-4.678999818,#NUM!
187,GlcNAcb1-6(GlcNAcb1-4)GalNAca-Sp8,3.15185,4.156831483,131.8854477,-4.774826712,#NUM!
544,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,3.14915,7.839805537,248.9498924,-2.532058978,#NUM!
216,Mana1-6(Mana1-3)Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,3.116775,2.14262107,68.74481058,-9.279860671,#NUM!
194,GlcNAcb1-6Galb1-4GlcNAcb-Sp8,3.091925,1.909931115,61.77158613,-10.42345184,#NUM!
75,Fuca1-2Galb1-4GlcNAcb-Sp0,3.077725,2.046443949,66.49209883,-9.735069954,#NUM!
91,GalNAca1-3GalNAcb-Sp8,3.00485,6.300881207,209.6903741,-3.173389458,#NUM!
567,Galb1-3GlcNAcb1-6(Galb1-3)GalNAc-Sp14,2.960475,2.48948664,84.09078407,-8.049661597,#NUM!
12,Galb-Sp8,2.893675,4.216208929,145.7043009,-4.768816095,#NUM!
472,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,2.865,3.347549674,116.8429206,-6.014847265,#NUM!
1,Gala-Sp8,2.85295,2.428704481,85.1295845,-8.295389644,#NUM!
4,GalNAca-Sp8,2.8427,5.166958019,181.7623393,-3.901192912,#NUM!
248,Fuca1-2(6S)Galb1-4Glcb-Sp0,2.810275,3.474846909,123.6479316,-5.810248776,#NUM!
497,Fuca1-2(6S)Galb1-3GlcNAcb-Sp0,2.8061,5.102525421,181.8369061,-3.957628494,#NUM!
573,Neu5Aca2-8Neu5Aca2-3Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glc-Sp21,2.80475,5.933608654,211.5557057,-3.403535888,#NUM!
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,2.721825,9.634039586,353.9551435,-2.104846552,#NUM!
