Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
180,GlcNAcb1-3GalNAca-Sp14,4.0192,12.73650884,316.8916411,-1.725810446,#NUM!
512,(6S)GalNAcb1-4GlcNAc-Sp8 ,3.98085,2.828490074,71.05241528,-7.784771884,#NUM!
298,(6P)Glcb-Sp10,3.9755,2.444308093,61.48429362,-9.010525336,#NUM!
424,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-3GalNAc-Sp14,3.9716,6.195076872,155.9844111,-3.555791228,#NUM!
555,Neu5Gca2-8Neu5Gca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAc-Sp0,3.943825,2.589154654,65.65085048,-8.518678081,#NUM!
364,Galb1-4GlcNAcb1-2Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,3.9384,0.516044397,13.10289451,-42.75136038,#NUM!
114,Gala1-3Galb1-3GlcNAcb-Sp0,3.928525,1.605457477,40.86667328,-13.74777926,#NUM!
99,GalNAcb1-4GlcNAcb-Sp8,3.918925,3.016028023,76.96059565,-7.321243314,#NUM!
435,Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,3.903125,7.206949679,184.6456283,-3.066050962,#NUM!
36,(3S)Galb1-4GlcNAcb-Sp0,3.87555,4.091646521,105.575893,-5.407224178,#NUM!
15,GalNAcb-Sp8,3.80995,4.672304216,122.634266,-4.749273373,#NUM!
407,Galb1-3GlcNAca1-6Galb1-4GlcNAcb-Sp0,3.7985,4.935410584,129.9305143,-4.498409934,#NUM!
255,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,3.76495,5.499787614,146.0786362,-4.042892483,#NUM!
392,GalNAcb1-4(Neu5Aca2-3)Galb1-4GlcNAcb1-3GalNAca-Sp14,3.756325,1.534780836,40.85857418,-14.49306277,#NUM!
171,Galb1-4Glcb-Sp0,3.71475,5.157225488,138.8310247,-4.321170376,#NUM!
275,Neu5Aca2-8Neu5Aca-Sp8,3.6942,6.299618802,170.5272806,-3.540817421,#NUM!
119,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,3.67095,4.879895656,132.9327737,-4.575722838,#NUM!
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,3.6511,2.689751613,73.66962321,-8.308908485,#NUM!
287,Neu5Gca-Sp8,3.6126,5.639794309,156.1145521,-3.969541933,#NUM!
414,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-3GalNAca-Sp14,3.611025,4.546993655,125.9197501,-4.923907244,#NUM!
196,Glca1-4Glca-Sp8,3.6016,3.480391686,96.63459812,-6.435597491,#NUM!
567,Galb1-3GlcNAcb1-6(Galb1-3)GalNAc-Sp14,3.571425,5.404719692,151.3323027,-4.149812808,#NUM!
137,Neu5Acb2-6(Galb1-3)GalNAca-Sp8,3.56115,1.511680302,42.44921731,-14.8436478,#NUM!
30,(3S)Galb1-3GlcNAcb-Sp0,3.51025,2.840606147,80.9231863,-7.917236264,#NUM!
168,Galb1-4GlcNAcb-Sp0,3.4481,2.508032148,72.73664185,-8.991870388,#NUM!
197,Glca1-6Glca1-6Glcb-Sp8,3.43525,3.62470714,105.5150903,-6.225261553,#NUM!
242,Neu5Aca2-3Galb1-3(6S)GalNAca-Sp8,3.418125,6.120561149,179.0619462,-3.689510561,#NUM!
439,Galb1-4Galb-Sp10,3.406175,4.573765723,134.2786475,-4.939873699,#NUM!
